date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:02:41	929/929	---M--	200	added ('OK')	application/javascript	date:Wed,%2001%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/portlets/portlets-init.js	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/portlets/portlets-init.js	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/uc-portlets.html)
15:02:42	0/-1	---M--	301	error ('')			http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/school-form.html	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/school-form.1d4.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/uc-rating-bar-rating.html)
15:02:42	0/-1	---M--	301	error ('')			http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/ui-Images.html	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/ui-Images.1d5.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/uc-rating-bar-rating.html)
15:02:42	0/-1	---M--	301	error ('')			http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/email.html	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/email.1d6.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/uc-rating-bar-rating.html)
15:02:43	13947/13947	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/css/lib/barRating/barRating.css	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/css/lib/barRating/barRating.css	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/uc-rating-bar-rating.html)
15:02:44	20018/20018	---M--	200	added ('OK')	application/javascript	date:Wed,%2001%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/barRating/jquery.barrating.js	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/barRating/jquery.barrating.js	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/uc-rating-bar-rating.html)
15:02:44	3687/3687	---M--	200	added ('OK')	application/javascript	date:Wed,%2001%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/barRating/barRating.init.js	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/barRating/barRating.init.js	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/uc-rating-bar-rating.html)
15:02:44	0/-1	---M--	301	error ('')			http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/school-form.html	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/school-form.1d9.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/uc-rating-jRate.html)
15:02:44	0/-1	---M--	301	error ('')			http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/ui-Images.html	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/ui-Images.1da.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/uc-rating-jRate.html)
15:02:44	0/-1	---M--	301	error ('')			http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/email.html	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/email.1db.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/uc-rating-jRate.html)
15:02:45	0/-1	---M--	301	error ('')			http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/school-form.html	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/school-form.1dc.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/table-basic.html)
15:02:45	0/-1	---M--	301	error ('')			http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/ui-Images.html	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/ui-Images.1dd.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/table-basic.html)
15:02:45	0/-1	---M--	301	error ('')			http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/email.html	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/email.1de.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/table-basic.html)
15:02:46	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2006%20May%202021%2009:31:38%20GMT	http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/css/lib/datatable/dataTables.bootstrap.min.css	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/css/lib/datatable/dataTables.bootstrap.min.1df.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/table-data.html)
15:02:48	119327/119327	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20May%202021%2009:31:40%20GMT	http://webstrot.com/html/webstrotadmin/bootstrap3/default/assets/css/lib/datatable/dataTables.bootstrap.min.css	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/webstrot.com/html/webstrotadmin/bootstrap3/default/assets/css/lib/datatable/dataTables.bootstrap.min.1e0.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/table-data.html)
15:02:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2006%20May%202021%2009:31:41%20GMT	http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/css/lib/datatable/buttons.bootstrap.min.css	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/css/lib/datatable/buttons.bootstrap.min.1e1.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/table-data.html)
15:02:51	119327/119327	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20May%202021%2009:31:43%20GMT	http://webstrot.com/html/webstrotadmin/bootstrap3/default/assets/css/lib/datatable/buttons.bootstrap.min.css	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/webstrot.com/html/webstrotadmin/bootstrap3/default/assets/css/lib/datatable/buttons.bootstrap.min.1e2.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/table-data.html)
15:02:51	0/-1	---M--	301	error ('')			http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/school-form.html	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/school-form.1e3.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/table-data.html)
15:02:51	0/-1	---M--	301	error ('')			http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/ui-Images.html	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/ui-Images.1e4.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/table-data.html)
15:02:51	0/-1	---M--	301	error ('')			http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/email.html	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/email.1e5.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/table-data.html)
15:02:53	1178/1178	---M--	200	added ('OK')	application/javascript	date:Wed,%2001%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/data-table/datatables-init.js	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/data-table/datatables-init.js	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/table-data.html)
15:02:54	0/-1	---M--	301	error ('')			http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/school-form.html	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/school-form.1e9.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/table-export.html)
15:02:54	0/-1	---M--	301	error ('')			http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/ui-Images.html	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/ui-Images.1ea.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/table-export.html)
15:02:54	0/-1	---M--	301	error ('')			http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/email.html	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/email.1eb.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/table-export.html)
15:02:54	8082/8082	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/css/lib/data-table/buttons.bootstrap.min.css	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/css/lib/data-table/buttons.bootstrap.min.css	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/table-export.html)
